JobID|JobName|State|ExitCode|Elapsed|NodeList|AllocTRES
6182576|pro-e1-reference|COMPLETED|0:0|00:02:23|qnode0167|billing=36,cpu=8,mem=16G,node=1
6182576.batch|batch|COMPLETED|0:0|00:02:23|qnode0167|cpu=8,mem=16G,node=1
6182576.extern|extern|COMPLETED|0:0|00:02:23|qnode0167|billing=36,cpu=8,mem=16G,node=1
6182578|pro-e1-decision|COMPLETED|0:0|00:00:09|qnode0027|billing=18,cpu=4,mem=8G,node=1
6182578.batch|batch|COMPLETED|0:0|00:00:09|qnode0027|cpu=4,mem=8G,node=1
6182578.extern|extern|COMPLETED|0:0|00:00:09|qnode0027|billing=18,cpu=4,mem=8G,node=1
6182577_0|pro-e1-postprocess|COMPLETED|0:0|00:00:39|qgpu0408|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182577_0.batch|batch|COMPLETED|0:0|00:00:39|qgpu0408|cpu=4,gres/gpu=1,mem=16G,node=1
6182577_0.extern|extern|COMPLETED|0:0|00:00:39|qgpu0408|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182577_1|pro-e1-postprocess|COMPLETED|0:0|00:00:39|qgpu0206|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182577_1.batch|batch|COMPLETED|0:0|00:00:39|qgpu0206|cpu=4,gres/gpu=1,mem=16G,node=1
6182577_1.extern|extern|COMPLETED|0:0|00:00:39|qgpu0206|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182577_2|pro-e1-postprocess|COMPLETED|0:0|00:00:39|qgpu0207|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
6182577_2.batch|batch|COMPLETED|0:0|00:00:39|qgpu0207|cpu=4,gres/gpu=1,mem=16G,node=1
6182577_2.extern|extern|COMPLETED|0:0|00:00:39|qgpu0207|billing=18,cpu=4,gres/gpu=1,mem=16G,node=1
